state,rate_c_kwh,psh,kwh_per_kw_yr,net_metering,value_factor,payback_now_yrs,payback_with_credit_yrs,delta_yrs,sys_cost_11kw_usd,annual_savings_11kw_now_usd
Hawaii,46.62,5.82,1699.0,net_billing,0.58,5.6,3.9,1.7,28380.0,5055.0
Connecticut,32.24,4.53,1323.0,full,1.0,6.0,4.2,1.8,28380.0,4691.0
Massachusetts,29.45,4.7,1372.0,full,1.0,6.4,4.5,1.9,28380.0,4446.0
Rhode Island,28.3,4.7,1372.0,full,1.0,6.6,4.6,2.0,28380.0,4272.0
New York,29.45,4.5,1314.0,full,1.0,6.7,4.7,2.0,28380.0,4257.0
Maine,28.42,4.55,1329.0,full,1.0,6.8,4.8,2.0,28380.0,4153.0
California,35.25,6.08,1775.0,net_billing,0.58,7.1,5.0,2.1,28380.0,3993.0
New Hampshire,27.24,4.58,1337.0,full,1.0,7.1,5.0,2.1,28380.0,4007.0
New Jersey,23.53,4.66,1361.0,full,1.0,8.1,5.6,2.4,28380.0,3522.0
Maryland,22.07,4.88,1425.0,full,1.0,8.2,5.7,2.5,28380.0,3459.0
Vermont,24.56,4.36,1273.0,full,1.0,8.3,5.8,2.5,28380.0,3439.0
Pennsylvania,21.47,4.79,1399.0,full,1.0,8.6,6.0,2.6,28380.0,3303.0
New Mexico,15.15,6.42,1875.0,full,1.0,9.1,6.4,2.7,28380.0,3124.0
Colorado,16.54,5.66,1653.0,full,1.0,9.4,6.6,2.8,28380.0,3007.0
Illinois,20.47,4.51,1317.0,full,1.0,9.6,6.7,2.9,28380.0,2965.0
South Carolina,17.06,5.33,1556.0,full,1.0,9.7,6.8,2.9,28380.0,2921.0
Delaware,18.79,4.8,1402.0,full,1.0,9.8,6.9,2.9,28380.0,2897.0
Ohio,19.49,4.54,1326.0,full,1.0,10.0,7.0,3.0,28380.0,2842.0
Wisconsin,19.21,4.58,1337.0,full,1.0,10.0,7.0,3.0,28380.0,2826.0
Virginia,17.38,5.01,1463.0,full,1.0,10.1,7.1,3.0,28380.0,2797.0
Kansas,15.78,5.39,1574.0,full,1.0,10.4,7.3,3.1,28380.0,2732.0
North Carolina,16.25,5.25,1533.0,full,1.0,10.4,7.2,3.1,28380.0,2740.0
Florida,15.38,5.48,1600.0,full,1.0,10.5,7.3,3.1,28380.0,2707.0
Georgia,15.37,5.17,1510.0,full,1.0,11.1,7.8,3.3,28380.0,2552.0
Wyoming,14.68,5.36,1565.0,full,1.0,11.2,7.9,3.4,28380.0,2527.0
Minnesota,16.39,4.61,1346.0,full,1.0,11.7,8.2,3.5,28380.0,2427.0
West Virginia,16.06,4.57,1334.0,full,1.0,12.0,8.4,3.6,28380.0,2357.0
Oklahoma,13.31,5.5,1606.0,full,1.0,12.1,8.4,3.6,28380.0,2351.0
Kentucky,15.02,4.79,1399.0,full,1.0,12.3,8.6,3.7,28380.0,2311.0
Missouri,14.01,5.03,1469.0,full,1.0,12.5,8.8,3.8,28380.0,2264.0
Iowa,13.86,4.75,1387.0,full,1.0,13.4,9.4,4.0,28380.0,2115.0
Montana,13.9,4.76,1390.0,full,1.0,13.4,9.3,4.0,28380.0,2125.0
Nebraska,13.28,4.98,1454.0,full,1.0,13.4,9.4,4.0,28380.0,2124.0
Oregon,15.78,4.06,1186.0,full,1.0,13.8,9.7,4.1,28380.0,2058.0
Arizona,15.48,6.54,1910.0,net_billing,0.58,15.0,10.5,4.5,28380.0,1886.0
Washington,14.36,3.95,1153.0,full,1.0,15.6,10.9,4.7,28380.0,1822.0
Michigan,21.39,4.47,1305.0,net_billing,0.58,15.9,11.2,4.8,28380.0,1781.0
North Dakota,12.35,4.45,1299.0,full,1.0,16.1,11.3,4.8,28380.0,1765.0
Nevada,14.29,6.41,1872.0,net_billing,0.58,16.6,11.6,5.0,28380.0,1706.0
Indiana,17.9,4.66,1361.0,net_billing,0.58,18.3,12.8,5.5,28380.0,1554.0
Louisiana,14.44,5.32,1553.0,net_billing,0.58,19.8,13.9,5.9,28380.0,1431.0
Arkansas,14.16,5.18,1513.0,net_billing,0.58,20.8,14.5,6.2,28380.0,1366.0
Alabama,17.41,5.21,1521.0,none,0.46,21.2,14.8,6.4,28380.0,1340.0
Utah,13.29,5.39,1574.0,net_billing,0.58,21.3,14.9,6.4,28380.0,1334.0
Texas,16.99,5.22,1524.0,none,0.46,21.7,15.2,6.5,28380.0,1310.0
Mississippi,16.76,5.26,1536.0,none,0.46,21.8,15.3,6.5,28380.0,1303.0
Alaska,27.35,3.17,926.0,none,0.46,22.2,15.5,6.6,28380.0,1281.0
Tennessee,14.94,4.82,1407.0,none,0.46,26.7,18.7,8.0,28380.0,1064.0
South Dakota,14.52,4.86,1419.0,none,0.46,27.2,19.1,8.2,28380.0,1043.0
Idaho,12.7,5.22,1524.0,none,0.46,29.0,20.3,8.7,28380.0,980.0
